left,bottom,right,top,area,cctv_area,cctv_weakS,crimeS,xcoord,ycoord,x,y
966100,1943000,966200,1943100,100,4.3018,34.1643,13.10915194,966150,1943050,127.1171103,37.48607248
966100,1948200,966200,1948300,100,22.1824,27.7809,13.10915194,966150,1948250,127.1168708,37.53294242
966100,1948300,966200,1948400,100,90.992,3.2159,13.10915194,966150,1948350,127.1168662,37.53384376
966100,1948400,966200,1948500,100,77.1659,8.1518,13.10915194,966150,1948450,127.1168616,37.5347451
966100,1948500,966200,1948600,100,94.894,1.8228,13.10915194,966150,1948550,127.116857,37.53564644
939900,1952300,940000,1952400,100,17.7726,29.3552,9.44056836,939950,1952350,126.820007,37.56856123
966100,1947600,966200,1947700,100,36.5807,22.6407,13.10915194,966150,1947650,127.1168985,37.52753437
939900,1952400,940000,1952500,100,38.935,21.8002,9.44056836,939950,1952450,126.8199988,37.56946252
939900,1952500,940000,1952600,100,58.4854,14.8207,9.44056836,939950,1952550,126.8199906,37.57036381
966100,1948000,966200,1948100,100,73.1041,9.6018,13.10915194,966150,1948050,127.11688,37.53113974
966100,1948100,966200,1948200,100,29.6355,25.1201,13.10915194,966150,1948150,127.1168754,37.53204108
939900,1951900,940000,1952000,100,19.3396,28.7958,9.44056836,939950,1951950,126.8200398,37.56495606
966100,1944800,966200,1944900,100,60.9214,13.9511,13.10915194,966150,1944850,127.1170275,37.50229673
939900,1952000,940000,1952100,100,2.0685,34.9615,9.44056836,939950,1952050,126.8200316,37.56585735
966100,1946000,966200,1946100,100,60.9024,13.9578,13.10915194,966150,1946050,127.1169722,37.51311287
966100,1947400,966200,1947500,100,0.0616,35.678,13.10915194,966150,1947450,127.1169077,37.52573168
966100,1947500,966200,1947600,100,21.1765,28.14,13.10915194,966150,1947550,127.1169031,37.52663303
966100,1944300,966200,1944400,100,37.893,22.1722,13.10915194,966150,1944350,127.1170505,37.49779
966100,1944600,966200,1944700,100,12.5127,31.233,13.10915194,966150,1944650,127.1170367,37.50049404
940000,1943800,940100,1943900,100,57.0009,15.3507,7.48708883,940050,1943850,126.8218333,37.49195736
940000,1944300,940100,1944400,100,37.5789,22.2843,7.48708883,940050,1944350,126.8217925,37.49646388
940000,1944400,940100,1944500,100,73.341,9.5173,7.48708883,940050,1944450,126.8217844,37.49736518
965900,1940200,966000,1940300,100,0.1437,35.6487,20.1,965950,1940250,127.1149776,37.46082732
940000,1944500,940100,1944600,100,83.6243,5.8461,7.48708883,940050,1944550,126.8217762,37.49826649
940000,1943700,940100,1943800,100,16.9008,29.6664,7.48708883,940050,1943750,126.8218414,37.49105605
965800,1959700,965900,1959800,100,0.1464,35.6477,7.17825017,965850,1959750,127.112939,37.63658466
940000,1951200,940100,1951300,100,12.0895,31.384,9.44056836,940050,1951250,126.8212293,37.55865352
940000,1951300,940100,1951400,100,13.2233,30.9793,9.44056836,940050,1951350,126.8212211,37.55955481
965800,1957200,965900,1957300,100,5.8479,33.6123,6.18726785,965850,1957250,127.1130559,37.61405149
940000,1951400,940100,1951500,100,11.4103,31.6265,9.44056836,940050,1951450,126.8212129,37.5604561
965800,1957300,965900,1957400,100,9.8389,32.1875,6.18726785,965850,1957350,127.1130512,37.61495282
940000,1951500,940100,1951600,100,27.0452,26.0449,9.44056836,940050,1951550,126.8212047,37.5613574
940000,1950900,940100,1951000,100,21.1537,28.1481,9.44056836,940050,1950950,126.8212538,37.55594963
940000,1951000,940100,1951100,100,81.5577,6.5839,9.44056836,940050,1951050,126.8212456,37.55685093
940000,1951100,940100,1951200,100,32.8232,23.9821,9.44056836,940050,1951150,126.8212374,37.55775222
965900,1944600,966000,1944700,100,33.3884,23.7803,13.10915194,965950,1944650,127.114774,37.50048668
965900,1944900,966000,1945000,100,60.279,14.1804,13.10915194,965950,1944950,127.1147601,37.50319072
940000,1949900,940100,1950000,100,0.6367,35.4727,9.44056836,940050,1949950,126.8213355,37.54693668
965900,1942700,966000,1942800,100,49.7325,17.9455,13.10915194,965950,1942750,127.114862,37.48336108
